Gene_ID	Gene_Name	Rank	PageRank_Score	Gene_Expression_Variance	Gene_Expression_Mean	Gene_Expression_Median	Gene-type	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Loadings_Comp1	Loadings_Comp2	Loadings_Comp3	Node Degree	Node Betweenness
ENSG00000198400	NTRK1	1	0.00628501329346244	0.0008421103685293819	-0.10561211628901705	-0.11446809771924679											614.0	0.08523118264431391
ENSG00000082898	XPO1	2	0.0050316328314887115	0.09438325650960927	0.6343615947920228	0.7315232928947906								-0.0042333795153303285	-0.0049780711407495706	-0.001615486740883686	509.0	0.059362805186871564
ENSG00000150991	UBC	3	0.004157933663081014	1005.9589323128869	37.256121805283875	22.98967906029043								0.5331750381379639	-0.2561969315652774	0.005202960823549838	412.0	0.05104720214818602
ENSG00000146648	EGFR	4	0.004000301481253118	0.0008091397743071164	-0.09816264568777017	-0.10547607991270011											377.0	0.04920891480377773
ENSG00000177885	GRB2	5	0.003488543333406457	0.10220935729818188	0.5949799047647104	0.6079164949542756								-0.0017422758600574425	-0.006932017061899453	0.0015065352373631088	337.0	0.03445218211217326
ENSG00000036257	CUL3	6	0.003389774689755449	0.011815941621855189	0.1937169900946342	0.20992436277781434	protein_coding	168.843146304524	-0.522970844193158	0.20885977223329802	-2.50393284738908	0.0122821343149869	0.184507614945094	-0.0007609568887166262	-0.002393288289925773	0.00047586335109235764	352.0	0.028524937348429414
ENSG00000091831	ESR1	7	0.002938405009934136	0.0009718950696575788	-0.10793519313265935	-0.11831593308699628											343.0	0.02461679255581877
ENSG00000100393	EP300	8	0.002624748077108855	0.011714713633359384	0.21254086076061307	0.20937295341651488								-0.0003141712819543033	-0.00034764107605780403	-0.0018221942703019933	288.0	0.021253873226874578
ENSG00000116478	HDAC1	9	0.002614507562389441	0.0011995737389599915	-0.019868317396022944	-0.026856140749229124											290.0	0.016491694207132843
ENSG00000073111	MCM2	10	0.0024837647072667953	0.09693221227084889	0.36454669471272977	0.3446063015697758	protein_coding	262.790698908558	-1.1466244927696	0.52695967127197	-2.1759245636424	0.0295609017315286	0.23857026316139401	-0.0023939413918415923	-0.0063330072047315476	0.004096136614228327	264.0	0.016207382924048785
ENSG00000136997	MYC	11	0.002434358521668178	0.004360312309549535	0.06698596436447624	0.047824265667834265								0.00023501740810624537	-5.237582508049e-05	-0.0014033956818258401	266.0	0.015617907995005533
ENSG00000123374	CDK2	12	0.002395742615421555	0.00028018328812215714	-0.06228521822895814	-0.06325300946925785											268.0	0.01359155745346421
ENSG00000096401	CDC5L	13	0.002274882683080339	0.013087987366780672	0.2559586098131397	0.28294927410265003								-0.0006260191712380018	-0.00271142495075775	-0.0006871591536308843	266.0	0.01089486867276213
ENSG00000012048	BRCA1	14	0.0022362755781360428	0.01348271772705364	0.0911483117169478	0.06414315842393986								-0.0010897947199321114	-0.002079776858028238	0.0007398984340120483	248.0	0.015894351270465706
ENSG00000100603	SNW1	15	0.002139522409021828	0.003189011411365982	0.07873319600852238	0.06983704472655072	protein_coding	118.56737210125	0.9375847984385299	0.39342152400251396	2.3831558296554705	0.0171649266156552	0.20479533134540398	0.0007396436470396021	-0.00017222724870034512	0.00026036223307656167	250.0	0.010803976287742566
ENSG00000044090	CUL7	16	0.0021213738241459925	0.0006313892137373555	-0.033088105173260274	-0.036272599097914235											241.0	0.009560681997178347
ENSG00000197122	SRC	17	0.00209092931631742	0.09964022768457342	0.12095648169737082	0.007842823691011701								-0.0017091975972210642	0.00174245877513945	-0.00868943495082343	195.0	0.0178696534706595
ENSG00000175104	TRAF6	18	0.002051870590527354	0.003886929446670066	-0.048264697956498404	-0.07184219618689125								0.0008571563950397345	0.000919233387692438	-3.393426343237914e-05	214.0	0.014062157822985947
ENSG00000074266	EED	19	0.001850081638819213	0.0005300047272427511	0.004787039261973961	-0.0015813712093005804											218.0	0.006895613370529717
ENSG00000135679	MDM2	20	0.0018490151851144484	0.038584092020830456	0.29473929270605453	0.2888745445124895								-0.0022455715342173327	-0.0029602657170339853	-0.0025128812978033304	201.0	0.011219610768217578
ENSG00000166949	SMAD3	21	0.0018249519622364715	0.0011581968964594661	-0.04193568736980687	-0.040314254930657746											197.0	0.011774271034949482
ENSG00000055130	CUL1	22	0.0018136980715330578	0.002075569672925362	0.0694837169813751	0.054495230412860196								-0.0002045714454488251	-0.000957540832377884	0.0007661379665778921	201.0	0.00972978462949827
ENSG00000124006	OBSL1	23	0.0018009023592692273	0.006547264620143542	0.03342182940916589	0.013772399827135918	protein_coding	77.5545208364555	-0.993736663703509	0.45148801186036497	-2.20102558118608	0.027734212916112003	0.23494537505743002	-0.00035645658991715766	-0.001090034709886275	0.0021444968186451908	215.0	0.00627547794936599
ENSG00000075624	ACTB	24	0.0017992279871809531	30.83989568310401	10.764641759176895	12.671998381369487								-0.05119921559655211	-0.12333935621391105	0.012721974382258642	182.0	0.013439292837018182
ENSG00000134086	VHL	25	0.0016929646570265464	0.010569643697538218	0.16926220467013578	0.179134236937491								-0.0008182086490267801	-0.0014143457292772874	-0.0010135652543249848	164.0	0.01399783492886217
ENSG00000097007	ABL1	26	0.0016737084159614635	0.0013056146273739948	-0.04037675015945056	-0.0500150277936707								0.0003944068116836981	0.0005432525156110723	-0.00019270192504787528	173.0	0.010644414732257308
