Gene-type	Gene-name	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mt_tRNA	MT-TL1	ENSG00000209082	762.667349891735	2.56820486584087	0.619914151237474	4.14283955401602	3.43031939402136e-05	0.092988049724706
protein_coding	TBX3	ENSG00000135111	53.1455604067271	2.49820979313957	0.615016176734097	4.06202289898412	4.86493036054206e-05	0.092988049724706
protein_coding	RBM6	ENSG00000004534	146.87114852991	-0.693081633900125	0.171386492768366	-4.04396882569298	5.25539101641105e-05	0.092988049724706
Mt_tRNA	MT-TY	ENSG00000210144	157.711199242285	2.31583281703856	0.592839257358088	3.90634187647892	9.37039126070955e-05	0.092988049724706
protein_coding	WBP5	ENSG00000185222	48.1782393925024	2.3532976502308	0.609971055924845	3.85804806207189	0.000114296175764883	0.092988049724706
protein_coding	TBC1D8	ENSG00000204634	177.170994949855	-1.10546215653695	0.288177121543527	-3.83605107378374	0.000125028417772611	0.092988049724706
protein_coding	DNAJB4	ENSG00000162616	337.77757157462	2.37107178518681	0.61999582702858	3.82433507101252	0.000131125487541423	0.092988049724706
protein_coding	HSPE1	ENSG00000115541	97.0761456416907	2.29320314340141	0.600081019152383	3.82148921597382	0.000132648215529852	0.092988049724706
Mt_tRNA	MT-TE	ENSG00000210194	100.309879188881	2.29250459303367	0.606600691657846	3.779264719874	0.000157292136488172	0.092988049724706
protein_coding	MVP	ENSG00000013364	78.903444850039	-0.734941385558905	0.194531563956279	-3.77800584446072	0.000158089169882193	0.092988049724706
processed_pseudogene	PPP1R14BP3	ENSG00000179967	59.3119230749055	-1.23533616420778	0.330606356591808	-3.73657716972762	0.00018654221718032	0.0950925484889753
protein_coding	OTUD1	ENSG00000165312	84.1031513519093	2.28269267125803	0.612523283401741	3.72670351171101	0.000194000438943846	0.0950925484889753
protein_coding	ABR	ENSG00000159842	233.433306425551	-1.18417111531396	0.321419444783926	-3.68419252329309	0.000229428788251369	0.100650443001802
Mt_tRNA	MT-TD	ENSG00000210154	113.525174587762	2.2292896809467	0.609658087384506	3.65662283020074	0.000255559980466318	0.100650443001802
protein_coding	FTSJ1	ENSG00000068438	67.1868231104559	-1.37693867116777	0.376675138533501	-3.6555071739764	0.000256674030096402	0.100650443001802
protein_coding	KBTBD8	ENSG00000163376	297.274894069212	2.15418282772691	0.597964329796584	3.60252730871041	0.000315138281075386	0.103024282717291
protein_coding	MRPL18	ENSG00000112110	192.934750768841	2.08995999132935	0.581985409508267	3.59108657568444	0.000329302216804686	0.103024282717291
protein_coding	FCGR2A	ENSG00000143226	183.423915455179	1.5765406900053	0.440860075258739	3.57605684542887	0.000348815833927738	0.103024282717291
