Gene-type	Gene-name	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mt_tRNA	MT-TD	ENSG00000210154	113.525174587762	2.73237849938165	0.609769098079354	4.48100520014556	7.42923010376368e-06	0.293372867567524
lincRNA	RP11-108M9.3	ENSG00000228549	19.6522282936604	2.32941302353446	0.57641428765794	4.04121319233641	5.31753880548148e-05	0.756706236781694
protein_coding	TNFSF14	ENSG00000125735	127.007938012089	2.42534557066258	0.604056993608749	4.01509393372489	5.94221237567303e-05	0.756706236781694
protein_coding	KBTBD8	ENSG00000163376	297.274894069212	2.35400588938391	0.597959845032679	3.9367290444984	8.25997808661983e-05	0.756706236781694
protein_coding	RGCC	ENSG00000102760	122.198891882227	2.21061602694168	0.576756355847241	3.83284207365922	0.000126671278295028	0.756706236781694
protein_coding	DNAJB1	ENSG00000132002	1764.67528977828	2.36045458256946	0.620065747571875	3.80678112250644	0.000140787240655888	0.756706236781694
protein_coding	FBXL14	ENSG00000171823	33.8534560233436	2.24566499463462	0.592696369612143	3.78889615285507	0.000151318146456545	0.756706236781694
protein_coding	KLHL25	ENSG00000183655	38.8901654243291	2.33564406210833	0.616971030686849	3.78566244756767	0.000153299650390072	0.756706236781694
protein_coding	ACTRT3	ENSG00000184378	31.8761243583223	2.31495056905041	0.619878168536719	3.73452508339675	0.000188069747235204	0.825187360952332
protein_coding	NKX3-1	ENSG00000167034	6.34286532994195	2.26272847686561	0.618726399681233	3.65707439997932	0.000255110351355888	0.936392639571714
protein_coding	HSPA1L	ENSG00000204390	314.46828336787	2.24137913851242	0.61554162234971	3.64131206912765	0.000271252096189862	0.936392639571714
protein_coding	WDR61	ENSG00000140395	54.5849243911114	1.69695083907584	0.467612095845865	3.62897122241079	0.000284552955882919	0.936392639571714
protein_coding	IER5	ENSG00000162783	1938.10539357674	2.22384391236739	0.620072837287892	3.58642368869787	0.00033524410980783	0.945041498838749
protein_coding	ZFAND2A	ENSG00000178381	368.218353718371	2.20928362508824	0.618810570085339	3.57020990249659	0.000356695287698528	0.945041498838749
protein_coding	E2F7	ENSG00000165891	126.558821822236	1.98695885386826	0.560294394175373	3.54627651913709	0.000390715986282725	0.945041498838749
